Emisi

4.2691861569640359,0.01
4.232652620807877,0.01
4.2078242634291465,0.01
4.1911719014726145,0.01
4.1736895747626317,0.01
4.1518105486968349,0.01
4.130528806108785,0.01
4.102859743391079,0.01
4.096782450034862,0.01
4.14172555090098,0.01
4.2442634014462151,0.01
4.4877222466437692,0.01
4.9183779667797278,0.01
5.2041483374171325,0.01
5.1047520185975568,0.01
4.9961860145535066,0.01
5.0621827985042662,0.01
5.0849879023252491,0.01
4.9889633350351588,0.01
4.8393021451016311,0.01
4.6982665145666358,0.01
4.5793867047461649,0.01
4.4859578297850273,0.01
4.4066497299732212,0.01
4.3461785095405743,0.01
